rank,track,team,run_id,bt_rating,ci_low_95,ci_high_95,n_battles
1,es,jayi2525,SaLT_task4_KimiCSF,1515,1450,1599,366
2,es,jayi2525,SaLT_task4_KimiPlain,1437,1382,1495,342
3,es,jayi2525,SaLT_task4_HumorGen32B,1369,1326,1420,354
4,es,liana87,UBO_task3_gemini-3_pun,1351,1310,1396,363
5,es,jayi2525,SaLT_task4_HumorGen14B,1329,1301,1383,375
6,es,arampageos,DUTH_Task4_ARENAJUDGE_ES,1314,1259,1367,296
7,es,arampageos,DUTH_Task4_HYBRIDEXACT_ES,1273,1235,1326,346
8,es,arampageos,DUTH_Task4_ARENAJUDGE_V2_ES,1264,1232,1312,323
9,es,arampageos,DUTH_Task4_gemma29bit_ES_balanced,1263,1221,1319,305
10,es,arampageos,DUTH_Task4_ES_DEEP_EXACTPUN_TOP2,1211,1151,1291,165
11,es,arampageos,DUTH_Task4_SCRATCHPAPER_ES_ARENA,1171,1137,1211,333
12,es,arampageos,DUTH_Task4_ES_DEEP_EXACTPUN_TOP3,1171,1110,1240,148
13,es,arampageos,DUTH_Task4_QWEN14_BLEUMIMIC_ES_PATCH,1160,1127,1205,288
14,es,arampageos,DUTH_Task4_QWEN14_BLEUMIMIC_ES_ALL,1142,1089,1176,262
15,es,arampageos,DUTH_Task4_ES_XID_SALVAGE_TOP5,1135,1087,1200,178
16,es,arampageos,DUTH_Task4_ES_NOBLOCK_PATCH6,1135,1085,1183,231
17,es,arampageos,DUTH_Task4_QWEN14_BLEUMIMIC_ES_SAFE,1133,1086,1188,239
18,es,arampageos,DUTH_Task4_ES_QUALITY_V2_MEDALLON,1126,1070,1191,158
19,es,liana87,UBO_task3_gemma_pun,1125,1084,1172,322
20,es,arampageos,DUTH_Task4_ES_TRAINSEL_TOP1,1122,1062,1174,162
21,es,arampageos,DUTH_Task4_QWEN14_BLEUMIMIC_V2_ES_ALL,1122,1090,1161,327
22,es,arampageos,DUTH_Task4_ES_QUALITY_V1_SAFE,1122,1067,1178,170
23,es,arampageos,DUTH_Task4_ES_DEEP_SINGLE_R05_es_0919_EXACT_PUN_TRAIN_es_0925,1120,1073,1184,177
24,es,arampageos,DUTH_Task4_DUPCONSIST_ES,1118,1078,1162,286
25,es,arampageos,DUTH_Task4_ES_BEST834_PAIR_SINGLE_R05_R06,1117,1053,1173,174
26,es,arampageos,DUTH_Task4_ES_SCOREENS2_PATCH7,1115,1070,1180,245
27,es,arampageos,DUTH_Task4_BLOCK_ES_BESTBLOCK,1114,1075,1157,278
28,es,arampageos,DUTH_Task4_ES_DEEP_SINGLE_R03_es_2303_EXACT_PUN_TRAIN_es_0762,1114,1058,1179,168
29,es,arampageos,DUTH_Task4_ES_QUALITY_V3_PLUS_BASE,1114,1061,1188,174
30,es,arampageos,DUTH_Task4_ES_DEEP_EXACTPUN_TOP1,1111,1041,1181,167
31,es,arampageos,DUTH_Task4_ES_DEEP_SINGLE_R01_es_0921_EXACT_PUN_TRAIN_es_0927,1110,1068,1158,198
32,es,arampageos,DUTH_Task4_ES_SCOREENS2_PATCH12,1107,1078,1153,254
33,es,arampageos,DUTH_Task4_ES_SINGLE_R03_es_0459_WIN_REPORT_R04,1107,1053,1175,134
34,es,arampageos,DUTH_Task4_ES_COMBO_SAFE,1106,1066,1156,291
35,es,arampageos,DUTH_Task4_ES_XID_SALVAGE_TOP3,1105,1050,1163,154
36,es,arampageos,DUTH_Task4_ES_BEST833_PLUS_TRAINSEL_TOP1_B12_11,1103,1056,1154,176
37,es,arampageos,DUTH_Task4_ES_BEST834_DEEP_SINGLE_R03_es_2303_EXACT_PUN_TRAIN_es_0762_CONFIRM,1103,1044,1164,160
38,es,liana87,UBO_task3_qwen_pun,1100,1072,1144,366
39,es,arampageos,DUTH_Task4_ES_SINGLE_R12_es_0635_WIN_REPORT_R16,1099,1030,1160,154
40,es,arampageos,DUTH_Task4_ES_MLSEL_RF_ALL,1096,1061,1139,346
41,es,arampageos,DUTH_Task4_ES_MLSEL_GB_TOP,1092,1054,1127,323
42,es,arampageos,DUTH_Task4_ES_SINGLE_R33_es_1117_WIN_REPORT_R44,1088,1040,1161,175
43,es,arampageos,DUTH_Task4_ES_SCOREENS_TOP80,1085,1031,1129,194
